Name,URL,Cuisines,Area,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,,,2427,0
RS Shiv Sagar,https://www.zomato.com/Chennai/rs0shiv0sagar0mg0road,"North Indian, South Indian, Asian, Continental, Chinese, Desserts","MG Road, Chennai",4.1,340,3.7,515,500,,,,
IDC Kitchen ,https://www.zomato.com/Chennai/idc0kitchen0indiranagar0Chennai,South Indian,"Indiranagar, Chennai",3.5,11,4,327,200,,,,
Itminaan Biryani 0 Dum Pukht,https://www.zomato.com/Chennai/itminaan0biryani0dum0pukht0indiranagar0Chennai,"Biryani, Mughlai, North Indian","Indiranagar, Chennai",0,0,4,495,250,,,,
Dum Biryani Adda,https://www.zomato.com/Chennai/dum0biryani0adda010jeevan0bhima0nagar0Chennai,"Biryani, North Indian","Jeevan Bhima Nagar, Chennai",0,0,4.2,2789,200,,,,
Chowman,https://www.zomato.com/Chennai/chowman0indiranagar0Chennai,"Chinese, Asian, Thai, Oriental","Indiranagar, Chennai",4.1,180,3.9,2580,800,,,,
Just Shawarma,https://www.zomato.com/Chennai/just0shawarma0indiranagar0Chennai,"Lebanese, Fast Food, Beverages","Indiranagar, Chennai",0,0,4.1,497,100,,,,
Udupi Krishna Grand,https://www.zomato.com/Chennai/udupi0krishna0grand0kalyan0nagar0Chennai,"South Indian, North Indian, Street Food, Biryani, Beverages, Chinese, Shake","Kalyan Nagar, Chennai",3.4,10,3.9,1758,500,,,,
Orbis Restaurant,https://www.zomato.com/Chennai/orbis0restaurant0indiranagar0Chennai,"Mughlai, Biryani, North Indian, Arabian, Chinese, Beverages, Desserts","Indiranagar, Chennai",3.7,138,3.7,5764,750,,,,
Sri Udupi Grand,https://www.zomato.com/Chennai/sri0udupi0grand0brigade0road0Chennai,"South Indian, North Indian, Chinese, Beverages, Shake","Brigade Road, Chennai",3.7,80,3.7,2390,300,,,,
Empire Juices And Ice Creams,https://www.zomato.com/Chennai/empire0juices0and0ice0creams0indiranagar0Chennai,"Shake, Ice Cream, Desserts, Beverages","Indiranagar, Chennai",0,0,3.7,1433,100,,,,
Ambur Dum Biriyani,https://www.zomato.com/Chennai/ambur0dum0biriyani010indiranagar,"Biryani, Kebab","Indiranagar, Chennai",3.1,24,3.2,49,200,,,,
Donne Biriyani Mane,https://www.zomato.com/Chennai/donne0biriyani0mane0cv0raman0nagar0Chennai,"Biryani, South Indian, Chinese, North Indian","CV Raman Nagar, Chennai",3,28,3.5,418,400,,,,
The Good Bowl,https://www.zomato.com/Chennai/the0good0bowl0indiranagar0Chennai,"North Indian, Mughlai","Indiranagar, Chennai",0,0,3.9,2740,200,,,,
UBQ By Barbeque Nation,https://www.zomato.com/Chennai/ubq0by0barbeque0nation0indiranagar0Chennai,"North Indian, Kebab, BBQ, Biryani","Indiranagar, Chennai",0,0,3.7,2559,250,,,,
ibaco,https://www.zomato.com/Chennai/ibaco0indiranagar0Chennai,Desserts,"Indiranagar, Chennai",4.1,306,4.4,559,250,,,,
NH1 Bowls 0 Highway To North,https://www.zomato.com/Chennai/nh10bowls0highway0to0north0indiranagar0Chennai,"North Indian, Kebab, Desserts","Indiranagar, Chennai",0,0,4.1,174,200,,,,
Sangam Sweets,https://www.zomato.com/Chennai/sangam0sweets0koramangala03rd0block,"Mithai, Street Food, Fast Food","Koramangala 3rd Block, Chennai",3.5,72,4.2,1070,250,,,,
Snack House,https://www.zomato.com/Chennai/snack0house0thippasandra0Chennai,"Street Food, Momos","Thippasandra, Chennai",0,0,4.3,7239,150,,,,
Juice Junction,https://www.zomato.com/Chennai/juice0junction0st0marks0road,"Juices, Beverages, Sandwich, Fast Food, Shake, Rolls, Healthy Food, Street Food","St. Marks Road, Chennai",3.9,121,4,753,250,,,,
Keventers 0 Milkshakes & Desserts,https://www.zomato.com/Chennai/keventers0milkshakes0desserts0brigade0road0Chennai,"Beverages, Desserts, Ice Cream, Shake","Garuda Mall, Magrath Road, Chennai",3.3,19,3.9,575,200,,,,
